Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
CI64,+N,24.64,9.38,10.5,4.4
CI64,+N,24.64,9.38,10.5,4.3
CI64,+N,24.26,9.38,10.76,4.4
CI64,+N,24.26,9.38,10.76,4.3
CI66,+N,22.43333333,8.933333333,6.833333333,5.9
CI66,+N,,8.933333333,6.833333333,5.9
CM105,+N,25.2,13.86,11.6,4.3
CM105,+N,25.2,13.86,11.6,6.6
CM105,+N,25.2,13.86,12.5,4.3
CM105,+N,25.2,13.86,12.5,6.6
CM105,+N,25.8,13.86,12.5,4.3
CM105,+N,25.8,13.86,12.5,6.6
CM105,+N,25.8,13.86,11.6,4.3
CM105,+N,25.8,13.86,11.6,6.6
CM174,+N,26.8,13.82,12,3.2
CM174,+N,26.8,13.82,12,3.3
CM174,+N,24.2,13.82,12.92,3.2
CM174,+N,24.2,13.82,12.92,3.3
CM174,+N,26.8,13.82,12.92,3.2
CM174,+N,26.8,13.82,12.92,3.3
CM174,+N,24.2,13.82,12,3.2
CM174,+N,24.2,13.82,12,3.3
CM37,+N,20.675,9.175,11.825,4.7
CM37,+N,20.675,9.175,11.825,4.3
CM37,+N,20.675,9.175,9.55,4.7
CM37,+N,20.675,9.175,9.55,4.3
CM37,+N,24.375,9.175,11.825,4.7
CM37,+N,24.375,9.175,11.825,4.3
CM37,+N,24.375,9.175,9.55,4.7
CM37,+N,24.375,9.175,9.55,4.3
CM37,+N,24.375,10.675,11.825,4.7
CM37,+N,24.375,10.675,11.825,4.3
CM37,+N,24.375,10.675,9.55,4.7
CM37,+N,24.375,10.675,9.55,4.3
CM37,+N,20.675,10.675,11.825,4.7
CM37,+N,20.675,10.675,11.825,4.3
CM37,+N,20.675,10.675,9.55,4.7
CM37,+N,20.675,10.675,9.55,4.3
CM7,+N,26.2,25.84,11.48,3.9
CM7,+N,26.2,25.84,11.48,4.5
CM7,+N,26.2,25.84,11.58333333,3.9
CM7,+N,26.2,25.84,11.58333333,4.5
CM7,+N,21.01666667,6.75,11.48,3.9
CM7,+N,21.01666667,6.75,11.48,4.5
CM7,+N,21.01666667,6.75,11.58333333,3.9
CM7,+N,21.01666667,6.75,11.58333333,4.5
CM7,+N,26.2,6.75,11.48,3.9
CM7,+N,26.2,6.75,11.48,4.5
CM7,+N,26.2,6.75,11.58333333,3.9
CM7,+N,26.2,6.75,11.58333333,4.5
CM7,+N,21.01666667,25.84,11.58333333,3.9
CM7,+N,21.01666667,25.84,11.58333333,4.5
CM7,+N,21.01666667,25.84,11.48,3.9
CM7,+N,21.01666667,25.84,11.48,4.5
CML103,+N,22.325,15.1,12.45,3
CML103,+N,22.325,15.1,12.45,4.8
CML103,+N,22.325,15.1,13.73333333,3
CML103,+N,22.325,15.1,13.73333333,4.8
CML103,+N,22.63333333,15.1,12.45,3
CML103,+N,22.63333333,15.1,12.45,4.8
CML103,+N,22.63333333,15.1,13.73333333,3
CML103,+N,22.63333333,15.1,13.73333333,4.8
CML103,+N,22.325,7.325,12.45,3
CML103,+N,22.325,7.325,12.45,4.8
CML103,+N,22.325,7.325,13.73333333,3
CML103,+N,22.325,7.325,13.73333333,4.8
CML103,+N,22.63333333,7.325,12.45,3
CML103,+N,22.63333333,7.325,12.45,4.8
CML103,+N,22.63333333,7.325,13.73333333,3
CML103,+N,22.63333333,7.325,13.73333333,4.8
CML108,+N,28,20.175,12.85,5.1
CML108,+N,,20.175,12.85,5.1
CML158Q,+N,,11.95,10.7,3.5
CML158Q,+N,24.1,11.95,10.7,3.5
CML218,+N,,8.966666667,11.26666667,4.2
CML218,+N,20.8,8.966666667,11.26666667,4.2
